,,,,,,,,,,,
,AMG Inventory list,,,,,,,,,,
,Highlight items to reorder?,,Yes,,,,,,,,
,,,,,,,,,,,
 ,Inventory ID,Name,Description,Quantity in stock,Reorder level,Expiration Date,Quantity in reorder,Expired?,Location,Manufacturer,Notes
,IN0311,Woman BBL FBCS size X-large ,Garment,1,,,,,,,
Reorder,IN0312,,,,,,,,,,
Reorder,IN0313,,,,,,,,,,
Reorder,IN0314,,,,,,,,,,
Reorder,IN0315,,,,,,,,,,
Reorder,IN0316,,,,,,,,,,
Reorder,IN0317,,,,,,,,,,
Reorder,IN0318,,,,,,,,,,
Reorder,IN0319,,,,,,,,,,
Reorder,IN0320,,,,,,,,,,
Reorder,IN0321,,,,,,,,,,
Reorder,IN0322,,,,,,,,,,
Reorder,IN0323,,,,,,,,,,
Reorder,IN0324,,,,,,,,,,
Reorder,IN0325,,,,,,,,,,
Reorder,IN0326,,,,,,,,,,
Reorder,IN0327,,,,,,,,,,
Reorder,IN0328,,,,,,,,,,
Reorder,IN0329,,,,,,,,,,
Reorder,IN0330,,,,,,,,,,
Reorder,IN0331,,,,,,,,,,
Reorder,IN0332,,,,,,,,,,
Reorder,IN0333,,,,,,,,,,
Reorder,IN0334,,,,,,,,,,
Reorder,IN0335,,,,,,,,,,
Reorder,IN0336,,,,,,,,,,
Reorder,IN0337,,,,,,,,,,
Reorder,IN0338,,,,,,,,,,
Reorder,IN0339,,,,,,,,,,
Reorder,IN0340,,,,,,,,,,
Reorder,IN0341,,,,,,,,,,
Reorder,IN0342,,,,,,,,,,
Reorder,IN0343,,,,,,,,,,
Reorder,IN0344,,,,,,,,,,
Reorder,IN0345,,,,,,,,,,
Reorder,IN0346,,,,,,,,,,
Reorder,IN0347,,,,,,,,,,
Reorder,IN0348,,,,,,,,,,
Reorder,IN0349,,,,,,,,,,
Reorder,IN0350,,,,,,,,,,
Reorder,IN0351,,,,,,,,,,
Reorder,IN0352,,,,,,,,,,
Reorder,IN0353,,,,,,,,,,
Reorder,IN0354,,,,,,,,,,
Reorder,IN0355,,,,,,,,,,
Reorder,IN0356,,,,,,,,,,
Reorder,IN0357,,,,,,,,,,
Reorder,IN0358,,,,,,,,,,
Reorder,IN0359,,,,,,,,,,
Reorder,IN0360,,,,,,,,,,
Reorder,IN0361,,,,,,,,,,
Reorder,IN0362,,,,,,,,,,
Reorder,IN0363,,,,,,,,,,
Reorder,IN0364,,,,,,,,,,
Reorder,IN0365,,,,,,,,,,
Reorder,IN0366,,,,,,,,,,
Reorder,IN0367,,,,,,,,,,
Reorder,IN0368,,,,,,,,,,
Reorder,IN0369,,,,,,,,,,
